Schulnummer,Schulname,Bezirk,Adresse,Schueler_2024_25,Lehrer_2024_25,Schueler_2023_24,Lehrer_2023_24,Sprachen,Homepage,Nachfrage_Plaetze_2025_26,Nachfrage_Wuensche_2025_26,Nachfrage_Prozent_2025_26,Abitur_Durchschnitt_2024,Abitur_Durchschnitt_2023,MSA_Notendurchschnitt_Bezirk_2024,MSA_Bestehensquote_Bezirk_2024,MSA_Plus_Quote_Bezirk_2024,MSA_Teilnehmer_Bezirk_2024,MSA_Notendurchschnitt_Bezirk_2023,MSA_Bestehensquote_Bezirk_2023,MSA_Plus_Quote_Bezirk_2023,MSA_Teilnehmer_Bezirk_2023,Hat_Abitur,Leistungsdaten_Quelle,Notendurchschnitt_2024,Notendurchschnitt_2023,Belastungsstufe,Migration_2024_25,Migration_2023_24,Ortsteil
06K09,Gail S. Halvorsen Schule,Steglitz-Zehlendorf,"Im Gehege 6, 14195 Berlin",472,53,493.0,50.0,1. Englisch 2. Französisch oder Spanisch,https://www.halvorsen-schule.net,112.0,87.0,78.0,,,2.3,76.0,54.0,926,2.3,77.0,55.0,910,False,Bezirk_MSA,2.3,2.3,4.0,47.9,32.5,Dahlem
02K07,Georg-Weerth-Schule,Friedrichshain-Kreuzberg,"Eckertstraße 16, 10249 Berlin",468,51,463.0,51.0,"Englisch, Französisch, Spanisch",https://www.georg-weerth-schule.de/,108.0,54.0,50.0,,,2.5,67.0,43.0,980,2.5,66.0,42.0,960,False,Bezirk_MSA,2.5,2.5,5.0,31.0,32.4,Friedrichshain
01K07,Hemingway-Schule,Mitte,"Gartenstraße 10-17, 10115 Berlin",464,57,470.0,61.0,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://www.hemingway-schule.de/,104.0,49.0,47.0,,,2.6,63.0,38.0,1150,2.6,62.0,37.0,1120,False,Bezirk_MSA,2.6,2.6,6.0,88.1,84.7,Mitte
09K04,Isaac-Newton-Schule,Treptow-Köpenick,"Zeppelinstraße 76-80, 12459 Berlin",463,44,451.0,43.0,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://isaac-newton-schule.de/,104.0,83.0,80.0,,,2.4,72.0,49.0,980,2.4,71.0,48.0,970,False,Bezirk_MSA,2.4,2.4,5.0,28.5,26.6,Oberschöneweide
01K06,Herbert-Hoover-Schule,Mitte,"Pankstraße 18-19, 13357 Berlin",462,52,462.0,52.0,"Englisch, Französisch, Spanisch",https://www.hhs-berlin.de/,130.0,237.0,182.0,,,2.6,63.0,38.0,1150,2.6,62.0,37.0,1120,False,Bezirk_MSA,2.6,2.6,5.0,85.5,87.0,Gesundbrunnen
04K08,Peter-Ustinov-Schule,Charlottenburg-Wilmersdorf,"Kuno-Fischer-Straße 22-26, 14057 Berlin",461,62,470.0,60.0,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://peter-ustinov-schule.de/,130.0,97.0,75.0,,,2.4,71.0,48.0,850,2.4,72.0,49.0,840,False,Bezirk_MSA,2.4,2.4,3.0,76.6,72.6,Charlottenburg
03K08,Hagenbeck-Schule,Pankow,"Gustav-Adolf-Straße 60, 13086 Berlin",459,48,479.0,46.0,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://hagenbeck-schule.de/,104.0,148.0,142.0,,,2.3,75.0,52.0,1100,2.3,74.0,51.0,1080,False,Bezirk_MSA,2.3,2.3,4.0,15.3,14.4,Weißensee
12K05,Gustav-Freytag-Schule,Reinickendorf,"Breitkopfstraße 66-80, 13409 Berlin",458,49,450.0,47.0,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://www.gustav-freytag-schule.berlin/,126.0,121.0,96.0,,,2.4,68.0,44.0,1100,2.4,67.0,43.0,1090,False,Bezirk_MSA,2.4,2.4,5.0,72.7,72.7,Reinickendorf
12K06,Benjamin-Franklin-Schule,Reinickendorf,"Sommerfelder Straße 5-7, 13509 Berlin",455,50,440.0,51.0,"Englisch, Französisch",https://benjamin-franklin-schule.de/,101.0,103.0,102.0,,,2.4,68.0,44.0,1100,2.4,67.0,43.0,1090,False,Bezirk_MSA,2.4,2.4,4.0,48.6,41.8,Wittenau
08K04,Heinrich-Mann-Schule,Neukölln,"Gerlinger Straße 22, 12353 Berlin",452,45,462.0,46.0,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://heinrichmannschule.de/,189.0,39.0,21.0,,,2.7,56.0,32.0,1300,2.7,55.0,31.0,1280,False,Bezirk_MSA,2.7,2.7,6.0,74.8,72.7,Buckow
05K07,Schule an der Jungfernheide,Spandau,"Lenther Steig 1-3, 13629 Berlin",450,55,460.0,55.0,"Englisch, Französisch, Spanisch",https://www.schule-an-der-jungfernheide.de/,122.0,133.0,109.0,2.93,2.5,2.5,68.0,44.0,1050,2.5,67.0,43.0,1030,True,Schule_Abitur,2.93,2.5,4.0,35.1,36.1,Siemensstadt
07K06,Georg-von-Giesche-Schule,Tempelhof-Schöneberg,"Hohenstaufenstraße 47-48, 10779 Berlin",449,63,458.0,61.0,"Englisch, Französisch, Spanisch",https://www.georg-von-giesche-schule.de/,130.0,88.0,68.0,,,2.4,70.0,47.0,1020,2.4,72.0,49.0,1000,False,Bezirk_MSA,2.4,2.4,4.0,79.5,77.5,Schöneberg
09K06,Hans-Grade-Schule,Treptow-Köpenick,"Heubergerweg 37, 12487 Berlin",445,37,441.0,37.0,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://hans-grade-schule.de/,104.0,134.0,129.0,,,2.4,72.0,49.0,980,2.4,71.0,48.0,970,False,Bezirk_MSA,2.4,2.4,3.0,6.3,6.1,Johannisthal
11K01,Alexander-Puschkin-Schule,Lichtenberg,"Massower Straße 37, 10315 Berlin",440,42,468.0,49.0,"Englisch, Französisch, Latein, Russisch, Spanisch",https://www.puschkinschule.eu/,104.0,184.0,177.0,,,2.4,69.0,45.0,1200,2.4,68.0,44.0,1180,False,Bezirk_MSA,2.4,2.4,3.0,15.2,24.4,Friedrichsfelde
04K09,Otto-von-Guericke-Schule,Charlottenburg-Wilmersdorf,"Eisenzahnstraße 47-48, 10709 Berlin",436,47,429.0,44.0,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch, 2. Fremdsprache Spanisch",http://www.ovgos.de/,104.0,87.0,84.0,,,2.4,71.0,48.0,850,2.4,72.0,49.0,840,False,Bezirk_MSA,2.4,2.4,5.0,46.3,51.3,Wilmersdorf
12K09,Carl-Benz-Schule,Reinickendorf,"Heidenheimer Straße 53-54, 13467 Berlin",432,47,433.0,45.0,"Englisch, Französisch, Spanisch",https://carl-benz-oberschule.de/,104.0,94.0,90.0,,,2.4,68.0,44.0,1100,2.4,67.0,43.0,1090,False,Bezirk_MSA,2.4,2.4,4.0,35.6,36.7,Hermsdorf
07K09,Gustav-Langenscheidt-Schule,Tempelhof-Schöneberg,"Belziger Straße 43-51, 10823 Berlin",419,48,404.0,45.0,"Englisch, Französisch, Spanisch",https://gustav-langenscheidt-schule.de/,104.0,33.0,32.0,,,2.4,70.0,47.0,1020,2.4,72.0,49.0,1000,False,Bezirk_MSA,2.4,2.4,5.0,87.6,83.7,Schöneberg
